Team,Rank,Point,Score,Lose_score,Balance(m),AverageAge,season,goal_gain_lose_gap,Total_shots,Valid_shots,Goal_ratio(%),Valid_shot_ratio(%),Shot_accuracy(%)
본머스,18,34,40,65,20.29,25.1,2019-2020,-25,306,219,13.1,71.56862745098039,18.2648401826484
아스날,8,56,56,48,107.15,25.1,2019-2020,8,235,175,23.8,74.46808510638297,32.0
아스톤 빌라,17,35,41,67,156.5,25.6,2019-2020,-26,363,250,11.3,68.87052341597796,16.400000000000002
브라이튼,15,41,39,54,53.24,26.4,2019-2020,-15,298,206,13.1,69.12751677852349,18.932038834951456
번리,10,54,43,50,10.3,28.1,2019-2020,-7,288,213,14.9,73.95833333333334,20.187793427230048
첼시,4,66,69,54,-112.27,25.3,2019-2020,15,495,358,13.9,72.32323232323232,19.273743016759777
크리스탈 팰리스,14,43,31,50,-47.78,29.0,2019-2020,-19,290,202,10.7,69.6551724137931,15.346534653465346
에버튼,12,49,44,56,33.2,25.5,2019-2020,-12,304,223,14.5,73.35526315789474,19.730941704035875
레스터시티,5,62,67,41,15.8,25.9,2019-2020,26,432,307,15.5,71.06481481481481,21.824104234527688
리버풀,1,99,85,33,-37.6,26.6,2019-2020,52,386,291,22.0,75.38860103626943,29.20962199312715
맨시티,2,81,102,35,98.82,26.7,2019-2020,67,630,466,16.2,73.96825396825398,21.888412017167383
맨유,3,66,66,36,155.62,24.7,2019-2020,30,439,322,15.0,73.34851936218679,20.496894409937887
뉴캐슬,13,44,38,58,37.26,26.5,2019-2020,-20,323,235,11.8,72.75541795665634,16.170212765957448
노리치,20,21,26,75,6.62,25.9,2019-2020,-49,342,249,7.6,72.80701754385966,10.441767068273093
셰필드,9,54,39,39,72.15,26.9,2019-2020,0,293,212,13.3,72.35494880546075,18.39622641509434
사우스햄튼,11,52,51,60,34.2,25.7,2019-2020,-9,383,286,13.3,74.67362924281984,17.832167832167833
토트넘,6,59,61,47,86.0,26.2,2019-2020,14,306,223,19.9,72.87581699346404,27.3542600896861
왓포드,19,34,36,64,30.6,28.4,2019-2020,-28,293,206,12.3,70.30716723549489,17.475728155339805
웨스트햄,16,39,49,62,64.32,27.4,2019-2020,-13,303,215,16.2,70.95709570957096,22.790697674418606
울버햄튼,7,59,51,40,92.6,25.9,2019-2020,11,370,262,13.8,70.8108108108108,19.46564885496183
아스날,8,61,55,39,66.85,25.7,2020-2021,16,607,434,9.1,71.49917627677101,12.672811059907835
아스톤 빌라,11,55,55,46,98.58,25.0,2020-2021,9,710,521,7.7,73.38028169014085,10.556621880998081
브라이튼,16,41,40,46,29.5,25.8,2020-2021,-6,659,477,6.1,72.3823975720789,8.385744234800839
번리,17,39,33,55,-1.2,28.4,2020-2021,-22,481,335,6.9,69.64656964656965,9.850746268656717
첼시,4,67,58,36,190.05,25.8,2020-2021,22,736,546,7.9,74.18478260869566,10.622710622710622
크리스탈 팰리스,14,44,41,66,2.4,28.8,2020-2021,-25,453,338,9.1,74.61368653421634,12.1301775147929
에버튼,10,59,47,48,69.95,26.4,2020-2021,-1,540,391,8.7,72.4074074074074,12.020460358056265
풀럼,18,28,27,53,37.25,25.2,2020-2021,-26,591,416,4.6,70.38917089678512,6.490384615384616
리즈,9,59,62,54,127.8,26.1,2020-2021,8,720,522,8.6,72.5,11.877394636015326
레스터시티,5,66,68,50,5.63,26.4,2020-2021,18,613,463,11.1,75.53017944535073,14.686825053995682
리버풀,3,69,68,42,66.85,26.8,2020-2021,26,806,592,8.4,73.44913151364764,11.486486486486488
맨시티,1,86,83,32,109.4,26.1,2020-2021,51,786,584,10.6,74.30025445292621,14.212328767123289
맨유,2,74,73,44,64.3,25.5,2020-2021,29,680,521,10.7,76.61764705882354,14.011516314779271
뉴캐슬,12,45,46,62,38.48,27.1,2020-2021,-16,531,390,8.7,73.44632768361582,11.794871794871794
셰필드,20,23,20,63,62.7,26.5,2020-2021,-43,458,324,4.4,70.74235807860262,6.172839506172839
사우스햄튼,15,43,47,68,11.0,26.1,2020-2021,-21,546,396,8.6,72.52747252747253,11.868686868686869
토트넘,7,62,68,45,97.2,27.0,2020-2021,23,584,428,11.6,73.28767123287672,15.887850467289718
웨스트 브로미치,19,26,35,76,34.04,26.5,2020-2021,-41,476,330,7.4,69.32773109243698,10.606060606060606
웨스트햄,6,65,62,47,9.29,27.7,2020-2021,15,657,469,9.4,71.38508371385083,13.219616204690832
울버햄튼,13,45,36,52,8.39,25.6,2020-2021,-16,642,463,5.6,72.11838006230529,7.775377969762419
아스날,5,69,61,48,136.0,24.4,2021-2022,13,777,564,7.9,72.58687258687259,10.815602836879433
아스톤 빌라,14,45,52,54,2.8,25.9,2021-2022,-2,563,415,9.2,73.71225577264654,12.530120481927712
브렌트포드,13,46,48,56,37.2,25.1,2021-2022,-8,596,436,8.1,73.15436241610739,11.009174311926607
브라이튼,9,51,42,44,-3.8,26.0,2021-2022,-2,668,476,6.3,71.25748502994011,8.823529411764707
번리,18,35,34,53,8.9,28.8,2021-2022,-19,567,394,6.0,69.48853615520282,8.629441624365482
첼시,3,74,76,33,-30.94,27.1,2021-2022,43,760,563,10.0,74.07894736842105,13.49911190053286
크리스탈 팰리스,12,48,50,46,85.62,26.9,2021-2022,4,551,404,9.1,73.32123411978222,12.376237623762377
에버튼,16,39,43,66,-6.5,26.5,2021-2022,-23,549,405,7.8,73.77049180327869,10.617283950617285
리즈,17,38,42,79,59.3,25.6,2021-2022,-37,656,468,6.4,71.34146341463415,8.974358974358974
레스터시티,8,52,62,59,63.6,26.3,2021-2022,3,580,433,10.7,74.6551724137931,14.318706697459586
리버풀,2,92,94,26,57.45,27.7,2021-2022,68,988,729,9.5,73.78542510121457,12.894375857338819
맨시티,1,93,99,26,45.1,27.0,2021-2022,73,958,712,10.3,74.32150313152401,13.904494382022472
맨유,6,58,57,57,110.9,27.0,2021-2022,0,670,498,8.5,74.32835820895522,11.44578313253012
뉴캐슬,11,49,44,62,130.5,27.4,2021-2022,-18,612,440,7.2,71.89542483660131,10.0
노리치,20,22,23,84,25.15,25.6,2021-2022,-61,521,373,4.4,71.59309021113243,6.166219839142091
사우스햄튼,15,40,43,67,3.05,25.6,2021-2022,-24,659,482,6.5,73.14112291350531,8.921161825726141
토트넘,4,71,69,40,61.28,26.1,2021-2022,29,639,480,10.8,75.11737089201877,14.374999999999998
왓포드,19,23,34,77,30.65,28.0,2021-2022,-43,542,378,6.3,69.74169741697416,8.994708994708994
웨스트햄,7,56,60,51,70.27,28.0,2021-2022,9,614,450,9.8,73.28990228013029,13.333333333333334
울버햄튼,10,51,38,43,5.8,26.5,2021-2022,-5,539,387,7.1,71.79962894248608,9.819121447028424
본머스,15,39,37,71,83.1,26.2,2022-2023,-34,447,329,8.3,73.60178970917227,11.246200607902736
아스날,2,84,88,43,168.1,24.6,2022-2023,45,688,513,12.8,74.56395348837209,17.15399610136452
아스톤 빌라,7,61,51,46,46.14,26.9,2022-2023,5,557,412,9.2,73.96768402154399,12.37864077669903
브렌트포드,9,59,58,46,45.65,25.7,2022-2023,12,531,382,10.9,71.939736346516,15.18324607329843
브라이튼,6,62,72,53,-82.2,25.7,2022-2023,19,798,587,9.0,73.55889724310777,12.265758091993186
첼시,12,44,38,47,543.63,25.9,2022-2023,-9,596,433,6.4,72.6510067114094,8.775981524249422
크리스탈 팰리스,11,45,40,49,41.15,26.6,2022-2023,-9,535,398,7.5,74.39252336448598,10.050251256281408
에버튼,17,36,34,57,-25.4,26.3,2022-2023,-23,515,378,6.6,73.39805825242719,8.994708994708994
풀럼,10,52,55,53,50.3,27.9,2022-2023,2,566,410,9.7,72.43816254416961,13.414634146341465
리즈,19,31,48,78,36.89,25.1,2022-2023,-30,602,438,8.0,72.75747508305648,10.95890410958904
레스터시티,18,34,51,68,-32.4,26.3,2022-2023,-17,568,416,9.0,73.23943661971832,12.259615384615383
리버풀,5,67,75,47,61.6,27.2,2022-2023,28,789,574,9.5,72.75031685678074,13.066202090592336
맨시티,1,89,94,33,-7.17,26.7,2022-2023,61,796,585,11.8,73.49246231155779,16.068376068376068
맨유,3,75,58,43,219.63,26.6,2022-2023,15,804,592,7.2,73.6318407960199,9.797297297297296
뉴캐슬,4,71,68,33,171.29,27.0,2022-2023,35,692,509,9.8,73.55491329479769,13.359528487229863
노팅엄,16,38,38,68,190.25,26.5,2022-2023,-30,459,323,8.3,70.37037037037037,11.76470588235294
사우스햄튼,20,25,36,73,146.61,24.6,2022-2023,-37,503,362,7.2,71.96819085487077,9.94475138121547
토트넘,8,60,70,63,139.15,27.1,2022-2023,7,608,456,11.5,75.0,15.350877192982457
웨스트햄,14,40,42,55,164.95,27.9,2022-2023,-13,654,468,6.4,71.55963302752293,8.974358974358974
울버햄튼,13,41,31,58,114.24,26.5,2022-2023,-27,543,384,5.7,70.71823204419888,8.072916666666668
