Team,Rank,Point,Score,Lose_score,Balance(m),AverageAge,season,goal_gain_lose_gap
레스터시티,5,62,67,41,15.8,25.9,2019-2020,26
리버풀,1,99,85,33,-37.6,26.6,2019-2020,52
맨시티,2,81,102,35,98.82,26.7,2019-2020,67
맨유,3,66,66,36,155.62,24.7,2019-2020,30
뉴캐슬,13,44,38,58,37.26,26.5,2019-2020,-20
노리치,20,21,26,75,6.62,25.9,2019-2020,-49
셰필드,9,54,39,39,72.15,26.9,2019-2020,0
사우스햄튼,11,52,51,60,34.2,25.7,2019-2020,-9
토트넘,6,59,61,47,86.0,26.2,2019-2020,14
왓포드,19,34,36,64,30.6,28.4,2019-2020,-28
웨스트햄,16,39,49,62,64.32,27.4,2019-2020,-13
울버햄튼,7,59,51,40,92.6,25.9,2019-2020,11
아스날,8,61,55,39,66.85,25.7,2020-2021,16
아스톤 빌라,11,55,55,46,98.58,25.0,2020-2021,9
브라이튼,16,41,40,46,29.5,25.8,2020-2021,-6
번리,17,39,33,55,-1.2,28.4,2020-2021,-22
첼시,4,67,58,36,190.05,25.8,2020-2021,22
크리스탈 팰리스,14,44,41,66,2.4,28.8,2020-2021,-25
에버튼,10,59,47,48,69.95,26.4,2020-2021,-1
풀럼,18,28,27,53,37.25,25.2,2020-2021,-26
리즈,9,59,62,54,127.8,26.1,2020-2021,8
레스터시티,5,66,68,50,5.63,26.4,2020-2021,18
리버풀,3,69,68,42,66.85,26.8,2020-2021,26
맨시티,1,86,83,32,109.4,26.1,2020-2021,51
맨유,2,74,73,44,64.3,25.5,2020-2021,29
뉴캐슬,12,45,46,62,38.48,27.1,2020-2021,-16
셰필드,20,23,20,63,62.7,26.5,2020-2021,-43
사우스햄튼,15,43,47,68,11.0,26.1,2020-2021,-21
토트넘,7,62,68,45,97.2,27.0,2020-2021,23
웨스트 브로미치,19,26,35,76,34.04,26.5,2020-2021,-41
웨스트햄,6,65,62,47,9.29,27.7,2020-2021,15
울버햄튼,13,45,36,52,8.39,25.6,2020-2021,-16
아스날,5,69,61,48,136.0,24.4,2021-2022,13
아스톤 빌라,14,45,52,54,2.8,25.9,2021-2022,-2
브렌트포드,13,46,48,56,37.2,25.1,2021-2022,-8
브라이튼,9,51,42,44,-3.8,26.0,2021-2022,-2
번리,18,35,34,53,8.9,28.8,2021-2022,-19
첼시,3,74,76,33,-30.94,27.1,2021-2022,43
크리스탈 팰리스,12,48,50,46,85.62,26.9,2021-2022,4
에버튼,16,39,43,66,-6.5,26.5,2021-2022,-23
리즈,17,38,42,79,59.3,25.6,2021-2022,-37
레스터시티,8,52,62,59,63.6,26.3,2021-2022,3
리버풀,2,92,94,26,57.45,27.7,2021-2022,68
맨시티,1,93,99,26,45.1,27.0,2021-2022,73
맨유,6,58,57,57,110.9,27.0,2021-2022,0
뉴캐슬,11,49,44,62,130.5,27.4,2021-2022,-18
노리치,20,22,23,84,25.15,25.6,2021-2022,-61
사우스햄튼,15,40,43,67,3.05,25.6,2021-2022,-24
토트넘,4,71,69,40,61.28,26.1,2021-2022,29
왓포드,19,23,34,77,30.65,28.0,2021-2022,-43
웨스트햄,7,56,60,51,70.27,28.0,2021-2022,9
울버햄튼,10,51,38,43,5.8,26.5,2021-2022,-5
본머스,15,39,37,71,83.1,26.2,2022-2023,-34
아스날,2,84,88,43,168.1,24.6,2022-2023,45
아스톤 빌라,7,61,51,46,46.14,26.9,2022-2023,5
브렌트포드,9,59,58,46,45.65,25.7,2022-2023,12
브라이튼,6,62,72,53,-82.2,25.7,2022-2023,19
첼시,12,44,38,47,543.63,25.9,2022-2023,-9
크리스탈 팰리스,11,45,40,49,41.15,26.6,2022-2023,-9
에버튼,17,36,34,57,-25.4,26.3,2022-2023,-23
풀럼,10,52,55,53,50.3,27.9,2022-2023,2
리즈,19,31,48,78,36.89,25.1,2022-2023,-30
레스터시티,18,34,51,68,-32.4,26.3,2022-2023,-17
리버풀,5,67,75,47,61.6,27.2,2022-2023,28
맨시티,1,89,94,33,-7.17,26.7,2022-2023,61
맨유,3,75,58,43,219.63,26.6,2022-2023,15
뉴캐슬,4,71,68,33,171.29,27.0,2022-2023,35
노팅엄,16,38,38,68,190.25,26.5,2022-2023,-30
사우스햄튼,20,25,36,73,146.61,24.6,2022-2023,-37
토트넘,8,60,70,63,139.15,27.1,2022-2023,7
웨스트햄,14,40,42,55,164.95,27.9,2022-2023,-13
울버햄튼,13,41,31,58,114.24,26.5,2022-2023,-27
