Team,Rank,Point,Score,Lose_score,Balance(m),AverageAge,season
Queens Park Rangers,20,30,42,73,-17.5,28.0,2014-2015
Southampton FC,7,60,54,33,27.83,25.6,2014-2015
Stoke City,9,54,48,45,2.0,27.5,2014-2015
Sunderland AFC,16,38,31,53,-15.27,27.5,2014-2015
Swansea City,8,56,46,49,20.37,26.4,2014-2015
Tottenham Hotspur,5,64,58,53,-4.33,24.5,2014-2015
West Bromwich Albion,13,44,38,51,-22.58,27.9,2014-2015
West Ham United,12,47,44,47,-30.75,27.1,2014-2015
AFC Bournemouth,16,42,45,67,-54.46,27.5,2015-2016
Arsenal FC,2,71,65,36,-24.0,26.6,2015-2016
Aston Villa,20,17,27,76,-1.85,26.2,2015-2016
Chelsea FC,10,50,59,53,-9.01,26.4,2015-2016
Crystal Palace,15,42,39,51,-23.4,27.5,2015-2016
Everton FC,11,47,59,55,-37.2,26.5,2015-2016
Leicester City,1,81,68,36,-40.45,27.3,2015-2016
Liverpool FC,8,60,63,50,-35.95,24.9,2015-2016
Manchester City,4,66,71,41,-141.03,27.8,2015-2016
Manchester United,5,66,49,35,-55.33,25.4,2015-2016
Newcastle United,18,37,44,65,-102.48,25.2,2015-2016
Norwich City,19,34,39,67,-29.01,27.7,2015-2016
Southampton FC,6,63,59,41,-7.4,26.0,2015-2016
Stoke City,9,51,41,55,-30.45,27.5,2015-2016
Sunderland AFC,17,39,48,62,-55.05,27.2,2015-2016
Swansea City,12,47,42,52,-5.01,27.5,2015-2016
Tottenham Hotspur,3,70,69,35,16.25,24.2,2015-2016
Watford FC,13,45,40,50,-73.05,28.1,2015-2016
West Bromwich Albion,14,43,34,48,-29.98,28.6,2015-2016
West Ham United,7,62,65,51,-34.19,26.4,2015-2016
AFC Bournemouth,9,46,55,67,-17.0,26.4,2016-2017
Arsenal FC,5,75,77,44,-102.65,26.6,2016-2017
Burnley FC,16,40,39,55,-44.4,27.4,2016-2017
Chelsea FC,1,93,85,33,-23.9,27.0,2016-2017
Crystal Palace,14,41,50,63,-51.0,27.8,2016-2017
Everton FC,7,61,62,44,-25.2,27.2,2016-2017
Hull City,18,34,37,80,-11.1,27.2,2016-2017
Leicester City,12,44,48,63,-26.05,27.3,2016-2017
Liverpool FC,4,76,78,42,5.48,25.6,2016-2017
Manchester City,3,78,80,39,-180.9,28.1,2016-2017
Manchester United,6,69,54,29,-137.75,26.4,2016-2017
Middlesbrough FC,19,28,27,53,-34.45,27.1,2016-2017
Southampton FC,8,46,41,48,16.15,25.8,2016-2017
Stoke City,13,44,41,56,-38.37,28.6,2016-2017
Sunderland AFC,20,24,29,69,-18.13,26.5,2016-2017
Swansea City,15,41,45,70,-8.8,27.3,2016-2017
Tottenham Hotspur,2,86,86,26,-31.2,24.9,2016-2017
Watford FC,17,40,40,68,-12.35,28.4,2016-2017
West Bromwich Albion,10,45,43,51,-10.93,28.9,2016-2017
West Ham United,11,45,47,64,-42.5,26.5,2016-2017
AFC Bournemouth,12,44,45,61,-34.3,26.7,2017-2018
Arsenal FC,6,63,74,51,9.15,26.5,2017-2018
Brighton & Hove Albion,15,40,34,54,-66.1,27.4,2017-2018
Burnley FC,7,54,36,39,14.26,27.3,2017-2018
Chelsea FC,5,70,62,38,-65.9,26.6,2017-2018
Crystal Palace,11,44,45,55,-52.95,27.0,2017-2018
Everton FC,8,49,44,58,-76.82,26.3,2017-2018
Huddersfield Town,16,37,28,58,-50.3,26.2,2017-2018
Leicester City,9,47,56,60,-33.75,26.8,2017-2018
Liverpool FC,4,75,84,38,10.85,25.5,2017-2018
Manchester City,1,100,106,27,-226.15,26.0,2017-2018
Manchester United,2,81,68,28,-152.9,26.3,2017-2018
Newcastle United,10,44,39,47,-25.28,25.5,2017-2018
Southampton FC,17,36,37,56,37.1,26.0,2017-2018
Stoke City,19,33,35,68,-22.56,27.5,2017-2018
Swansea City,18,33,28,56,7.72,27.0,2017-2018
Tottenham Hotspur,3,77,74,36,-17.2,25.8,2017-2018
Watford FC,14,41,44,64,-54.66,27.6,2017-2018
West Bromwich Albion,20,31,31,56,-51.45,28.7,2017-2018
West Ham United,13,42,48,68,12.22,27.6,2017-2018
AFC Bournemouth,14,45,56,70,-71.4,26.2,2018-2019
Arsenal FC,5,70,73,51,-71.05,26.4,2018-2019
Brighton & Hove Albion,17,36,35,60,-77.0,27.2,2018-2019
Burnley FC,15,40,45,68,-25.0,27.9,2018-2019
Cardiff City,18,34,34,69,-51.2,27.3,2018-2019
Chelsea FC,3,72,63,39,-125.55,27.1,2018-2019
Crystal Palace,12,49,51,53,-11.5,27.2,2018-2019
Everton FC,8,54,54,46,-71.15,25.5,2018-2019
Fulham FC,19,26,34,81,-111.15,25.8,2018-2019
Huddersfield Town,20,16,22,76,-38.37,25.9,2018-2019
Leicester City,9,52,51,48,-18.8,25.9,2018-2019
Liverpool FC,2,97,89,22,-140.88,26.2,2018-2019
Manchester City,1,98,95,23,-20.99,26.4,2018-2019
Manchester United,6,66,65,54,-52.15,26.0,2018-2019
Newcastle United,13,45,42,48,-8.7,26.6,2018-2019
Southampton FC,16,39,45,65,-36.15,25.4,2018-2019
Tottenham Hotspur,4,71,67,39,5.35,26.6,2018-2019
Watford FC,11,50,52,59,21.74,27.9,2018-2019
West Ham United,10,52,52,55,-87.14,27.7,2018-2019
Wolverhampton Wanderers,7,57,47,46,-89.45,25.4,2018-2019
AFC Bournemouth,18,34,40,65,-20.29,25.1,2019-2020
Arsenal FC,8,56,56,48,-107.15,25.1,2019-2020
Aston Villa,17,35,41,67,-156.5,25.6,2019-2020
Brighton & Hove Albion,15,41,39,54,-53.24,26.4,2019-2020
Burnley FC,10,54,43,50,-10.3,28.1,2019-2020
Chelsea FC,4,66,69,54,112.27,25.3,2019-2020
Crystal Palace,14,43,31,50,47.78,29.0,2019-2020
Everton FC,12,49,44,56,-33.2,25.5,2019-2020
Leicester City,5,62,67,41,-15.8,25.9,2019-2020
Liverpool FC,1,99,85,33,37.6,26.6,2019-2020
Manchester City,2,81,102,35,-98.82,26.7,2019-2020
Manchester United,3,66,66,36,-155.62,24.7,2019-2020
Newcastle United,13,44,38,58,-37.26,26.5,2019-2020
Norwich City,20,21,26,75,-6.62,25.9,2019-2020
Sheffield United,9,54,39,39,-72.15,26.9,2019-2020
Southampton FC,11,52,51,60,-34.2,25.7,2019-2020
Tottenham Hotspur,6,59,61,47,-86.0,26.2,2019-2020
Watford FC,19,34,36,64,-30.6,28.4,2019-2020
West Ham United,16,39,49,62,-64.32,27.4,2019-2020
Wolverhampton Wanderers,7,59,51,40,-92.6,25.9,2019-2020
Arsenal FC,8,61,55,39,-66.85,25.7,2020-2021
Aston Villa,11,55,55,46,-98.58,25.0,2020-2021
Brighton & Hove Albion,16,41,40,46,-29.5,25.8,2020-2021
Burnley FC,17,39,33,55,1.2,28.4,2020-2021
Chelsea FC,4,67,58,36,-190.05,25.8,2020-2021
Crystal Palace,14,44,41,66,-2.4,28.8,2020-2021
Everton FC,10,59,47,48,-69.95,26.4,2020-2021
Fulham FC,18,28,27,53,-37.25,25.2,2020-2021
Leeds United,9,59,62,54,-127.8,26.1,2020-2021
Leicester City,5,66,68,50,-5.63,26.4,2020-2021
Liverpool FC,3,69,68,42,-66.85,26.8,2020-2021
Manchester City,1,86,83,32,-109.4,26.1,2020-2021
Manchester United,2,74,73,44,-64.3,25.5,2020-2021
Newcastle United,12,45,46,62,-38.48,27.1,2020-2021
Sheffield United,20,23,20,63,-62.7,26.5,2020-2021
Southampton FC,15,43,47,68,-11.0,26.1,2020-2021
Tottenham Hotspur,7,62,68,45,-97.2,27.0,2020-2021
West Bromwich Albion,19,26,35,76,-34.04,26.5,2020-2021
West Ham United,6,65,62,47,-9.29,27.7,2020-2021
Wolverhampton Wanderers,13,45,36,52,-8.39,25.6,2020-2021
Arsenal FC,5,69,61,48,-136.0,24.4,2021-2022
Aston Villa,14,45,52,54,-2.8,25.9,2021-2022
Brentford FC,13,46,48,56,-37.2,25.1,2021-2022
Brighton & Hove Albion,9,51,42,44,3.8,26.0,2021-2022
Burnley FC,18,35,34,53,-8.9,28.8,2021-2022
